Date,Open,High,Low,Close,Adj Close,Volume
2024-02-07,302.711609,308.478088,300.849548,307.634583,307.634583,776516914
2024-02-08,307.573547,320.407349,307.506226,318.871887,318.871887,1206142745
2024-02-09,318.923370,325.644592,318.202393,323.842285,323.842285,1094700959
2024-02-10,323.871613,325.426697,319.579956,323.133881,323.133881,737748174
2024-02-11,323.103516,324.768311,320.309387,320.787537,320.787537,706320478
2024-02-12,320.804016,331.439850,315.932434,327.944611,327.944611,982444950
2024-02-13,327.932404,329.205780,319.484406,324.868225,324.868225,886487720
2024-02-14,324.865570,334.369141,323.876587,334.245972,334.245972,887463520
2024-02-15,334.210876,365.133118,333.852997,354.710815,354.710815,1744161787
2024-02-16,354.687561,365.562073,351.701599,360.890381,360.890381,1461675119
2024-02-17,360.872955,363.281799,349.043213,352.908112,352.908112,1101515839
2024-02-18,352.912994,358.008850,349.679962,349.679962,349.679962,959954204
2024-02-19,349.678284,355.698120,349.623779,351.807098,351.807098,1290009052
2024-02-20,351.807953,360.373627,346.074005,354.863922,354.863922,1489888631
2024-02-21,354.863861,379.065521,351.401245,378.537323,378.537323,2264483250
2024-02-22,378.713959,386.594086,374.302704,382.009766,382.009766,2002118598
2024-02-23,381.983124,385.457947,369.400085,375.319092,375.319092,1755398357
2024-02-24,375.323822,383.073700,371.999146,381.742798,381.742798,1088410661
2024-02-25,381.742615,390.450104,378.128571,388.551727,388.551727,1324081579
2024-02-26,388.535004,404.440094,382.256866,401.643890,401.643890,2011146388
2024-02-27,401.643890,403.740051,390.917877,394.995636,394.995636,1750697179
2024-02-28,394.951721,427.046814,394.661072,415.771606,415.771606,2323818531
2024-02-29,415.583618,419.779022,392.379883,399.778717,399.778717,2058367303
2024-03-01,399.672424,408.552795,399.478302,407.810760,407.810760,1527194519
2024-03-02,407.804840,414.845154,406.541656,410.985870,410.985870,1520439801
2024-03-03,410.977814,416.625702,405.085327,414.381073,414.381073,1810575392
2024-03-04,414.414032,423.800568,411.476532,419.035431,419.035431,2111212949
2024-03-05,419.016449,427.082886,363.220642,394.661743,394.661743,3319029162
2024-03-06,394.664948,433.425507,386.229523,429.011963,429.011963,3281109608
2024-03-07,429.011963,477.207184,423.787018,475.290649,475.290649,3328990543
2024-03-08,475.277710,489.578552,464.833862,488.094177,488.094177,3644157779
2024-03-09,488.092712,494.075958,482.640625,489.561829,489.561829,2314944823
2024-03-10,489.540924,537.415283,486.835541,529.374756,529.374756,4507153439
2024-03-11,529.447449,532.789673,509.983917,522.718018,522.718018,3950105375
2024-03-12,522.718994,547.018311,521.913940,537.865723,537.865723,4381078189
2024-03-13,537.865723,631.168396,532.045898,630.561340,630.561340,5717769152
2024-03-14,630.561340,630.956238,569.206909,602.988708,602.988708,4918366892
2024-03-15,602.967590,634.200806,547.703979,632.802795,632.802795,5849156503
2024-03-16,632.802795,641.481140,571.286865,576.775208,576.775208,3952760767
2024-03-17,576.775208,589.635681,550.143250,571.085571,571.085571,3512190982
2024-03-18,571.085571,586.514954,540.846313,554.557129,554.557129,3982384372
2024-03-19,554.557129,559.860413,498.562347,507.076569,507.076569,4346763421
2024-03-20,507.086456,558.946472,501.116852,556.700500,556.700500,3177352364
2024-03-21,556.700500,570.053223,541.655090,553.248230,553.248230,2595135487
2024-03-22,553.248230,587.731445,535.972656,551.778564,551.778564,2949959002
2024-03-23,551.778564,567.544678,544.921265,551.879517,551.879517,1962524597
2024-03-24,551.879517,572.488220,549.526306,567.994812,567.994812,1745465728
2024-03-25,567.994812,597.662170,565.137878,587.427612,587.427612,2490221265
2024-03-26,587.427612,597.013000,572.807800,580.150513,580.150513,2086911757
2024-03-27,580.159302,584.986755,565.511658,574.511597,574.511597,1983797879
2024-03-28,574.511597,591.314636,574.201782,583.270874,583.270874,1986567688
2024-03-29,583.286743,619.972595,582.469360,612.657959,612.657959,2788931743
2024-03-30,612.660156,612.994934,597.629822,601.016357,601.016357,1750650703
2024-03-31,601.005127,608.664246,600.879272,606.908630,606.908630,1456592924
2024-04-01,606.908691,607.645569,570.053162,576.396667,576.396667,2020241864
2024-04-02,576.376587,578.132996,546.868164,550.681458,550.681458,2480273065
2024-04-03,550.681458,567.997986,540.246826,562.019653,562.019653,2096610785
2024-04-04,562.019653,597.835327,561.349121,585.441528,585.441528,2340488273
2024-04-05,585.483215,591.332703,565.750977,578.966919,578.966919,1983792648
2024-04-06,578.966919,590.602234,575.917542,585.966797,585.966797,1328988130
2024-04-07,585.966797,590.885925,578.719116,584.102173,584.102173,1374676397
